periodyear,res16p,emp,wages,wagelt5k,wage5to10k,wage10to20k,wage20to50k,wage50kplus,privatesector,stategovt,localgovt,female,male,age45p,age50p,empQ1,empQ2,empQ3,empQ4,fourq,newhires,uiclaimants,prevagri,prevmine,prevutil,prevconstr,prevmanu,prevtrade,prevtrans,previnfo,prevfin,prevrealest,prevprof,prevmanag,prevadminwaste,prevedu,prevhealth,prevarts,prevaccom,prevstate,agiaexp,community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id
2013,2400,1718,79002868.00,182,119,170,549,698,1247,209,262,860,858,669,511,1463,1520,1526,1448,1216,552,240,1,76,70,307,105,479,207,42,70,88,178,11,121,4,833,77,357,357,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2014,2441,1784,84318801.00,233,113,153,535,750,1307,213,264,903,881,682,533,1483,1576,1572,1494,1247,628,208,1,65,71,307,116,471,213,54,77,82,156,9,122,12,861,76,370,360,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2015,2492,1786,85166912.00,235,122,177,487,765,1324,201,261,868,918,643,489,1503,1545,1562,1483,1236,585,191,0,84,70,310,124,491,212,58,70,88,151,11,124,11,869,78,380,349,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,11,5,71237.95,1,2,1,1,0,0,0,5,1,4,5,5,3,4,5,5,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2000,9,6,84033.80,0,3,2,1,0,6,0,0,2,4,5,5,2,5,4,4,1,6,1,0,0,0,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2001,10,5,104327.00,3,0,0,1,1,5,0,0,1,4,4,4,3,4,3,5,2,1,2,0,0,0,2,0,2,1,0,0,0,0,0,2,0,0,0,0,0,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2002,10,6,98887.00,3,1,0,2,0,1,0,5,2,4,5,5,4,5,4,4,3,2,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2003,10,7,169704.00,1,1,1,3,1,4,0,3,1,6,6,5,7,7,6,6,6,6,0,0,0,0,2,0,0,0,0,0,3,0,0,2,0,0,0,1,0,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2004,10,6,113318.00,1,2,1,2,0,0,0,6,2,4,5,5,5,6,5,5,3,1,3,0,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,7,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2005,13,6,90482.00,3,0,1,2,0,0,0,6,2,4,6,4,5,4,4,4,3,1,4,0,0,1,1,0,1,0,0,0,5,1,0,2,0,0,0,0,0,10,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2008,12,9,189539.00,3,3,0,1,2,4,0,5,2,7,9,6,4,4,6,8,2,8,2,0,1,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,10,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2009,11,9,159085.00,3,2,1,1,2,3,0,6,3,6,8,5,4,5,5,7,2,4,4,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,9,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2010,9,6,166266.00,1,1,1,1,2,1,0,5,2,4,6,5,4,6,6,6,4,3,2,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2011,10,8,194714.00,4,0,1,1,2,0,0,8,2,6,8,7,5,6,8,7,5,3,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2012,10,8,142436.00,5,0,0,1,2,2,0,6,2,6,7,7,6,5,8,6,4,0,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,1,0,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2013,10,5,96844.00,2,1,0,1,1,1,0,4,1,4,5,5,3,4,4,4,3,1,2,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2014,11,9,43546.00,6,1,2,0,0,1,0,8,2,7,9,9,6,8,5,4,2,4,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2015,10,7,44588.00,5,1,0,1,0,1,0,6,1,6,7,7,6,5,5,5,4,2,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,,Ugashik,1411486,80100,Lake and Peninsula Borough,1419975,99164,164,0,"Created from part of the Dillingham Census Area (02-070) effective April 24, 1989; 1980 population: 1,384.",Bristol Bay Native Corporation,57.5130556,-157.3975000,,aeb6575a-eb41-4d1e-8ad3-43fcfa3c55bb
2016,53,39,1575246.97,8,2,4,12,13,30,2,7,20,19,19,16,35,34,31,32,26,16,6,0,0,4,10,8,8,15,7,0,3,6,12,3,0,7,0,3,5,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2000,128,114,3820912.85,10,11,10,58,25,106,0,8,46,68,37,24,102,104,98,93,78,77,47,0,9,2,44,17,55,21,0,7,4,11,0,93,1,16,3,21,7,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2001,78,69,2160880.00,13,3,12,24,17,61,1,7,29,40,32,21,60,62,55,54,44,45,19,0,2,0,24,18,22,15,0,3,1,10,15,48,0,6,1,8,3,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2002,72,58,2130127.00,8,4,3,25,18,50,0,8,22,36,27,21,55,54,52,45,44,35,14,1,2,0,22,14,17,11,0,3,3,7,21,46,0,7,1,10,1,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2003,54,48,1582377.00,6,5,6,17,14,45,0,3,18,30,19,14,38,44,42,38,32,23,7,0,1,0,13,18,13,7,0,2,1,7,14,33,0,6,1,5,1,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2004,52,38,1420951.00,1,5,4,16,12,23,0,15,12,26,21,16,37,34,33,30,26,15,4,0,1,0,12,14,11,9,0,5,3,3,15,28,0,3,0,7,1,33,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2005,63,44,1009782.00,9,4,9,17,5,28,1,15,19,25,23,13,37,27,27,32,20,20,10,0,2,0,3,20,13,16,0,2,5,6,13,18,0,6,0,3,2,40,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2006,50,36,981044.00,7,3,5,15,6,23,3,10,16,20,16,12,36,35,32,25,25,23,6,0,1,0,5,13,10,15,1,1,5,3,10,9,0,6,0,10,6,35,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2007,47,29,924308.00,6,0,6,8,9,20,2,7,15,14,12,10,26,25,27,25,22,7,5,1,1,0,6,14,10,12,1,1,6,2,0,5,0,3,0,9,3,31,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2008,56,40,1067294.00,11,5,4,10,10,27,3,10,22,18,17,12,36,29,24,22,17,17,8,0,0,1,7,14,11,12,3,2,11,2,0,6,0,7,0,14,4,33,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2009,58,38,1231686.00,8,4,6,10,10,29,2,7,19,19,19,16,29,31,27,28,21,18,9,0,0,2,7,20,18,16,5,0,11,3,0,1,0,8,0,10,3,37,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2010,62,40,1615183.00,4,1,7,12,16,29,3,8,14,26,18,14,36,37,35,31,27,25,15,0,0,4,14,18,17,14,8,0,12,5,0,1,0,4,0,10,3,34,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2011,64,47,1847732.00,8,2,4,16,17,32,4,11,21,26,21,15,36,40,41,39,29,20,15,0,0,4,15,14,17,16,11,0,11,6,0,2,0,7,0,14,4,39,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2012,58,42,1679169.00,5,4,3,14,16,28,5,9,19,23,18,13,39,37,35,31,29,0,10,0,1,6,15,11,18,18,9,0,10,6,0,1,0,9,0,10,8,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2013,54,35,1657705.00,0,2,6,11,16,22,3,10,16,19,20,14,33,34,32,28,27,7,10,1,0,6,10,9,16,15,5,0,4,4,0,2,1,9,0,7,7,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2014,45,29,1346112.00,2,0,3,12,12,19,3,7,12,17,16,10,26,28,26,25,23,9,4,1,1,3,6,8,13,12,5,0,2,4,1,4,1,5,0,4,7,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2015,60,38,1590169.00,6,4,4,7,17,28,2,8,18,20,19,15,32,33,34,34,26,16,6,0,0,4,10,9,15,14,8,0,5,4,3,3,0,4,0,4,7,,Adak,1418109,65,Aleutians West Census Area,1419965,99016,16,0,"Created from the remainder of the former Aleutian Islands Census Area (02-010) when the new Aleutians East Borough (02-013) was created effective October 23, 1987; 1980 population: 6,125.",Aleut Corporation,51.8800000,-176.6580556,Aleutians,3f694e33-bff6-4cb8-a468-60cb72e9f571
2016,60,45,981091.60,11,7,9,13,5,26,1,18,22,23,14,11,33,35,43,40,31,18,10,0,0,0,1,7,6,4,0,2,5,0,5,2,0,23,0,9,1,,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2000,60,38,244082.99,24,6,5,3,0,17,0,21,14,24,4,3,25,26,29,28,15,22,7,1,0,0,3,11,8,7,0,9,11,0,0,2,0,1,1,3,7,,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2001,43,35,243533.00,19,8,5,3,0,17,0,18,12,23,4,3,21,29,25,27,14,19,8,1,0,0,0,7,9,7,0,11,9,0,0,2,0,8,0,5,4,,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2002,38,29,332428.00,10,8,4,7,0,16,1,12,11,18,4,4,25,23,23,21,16,15,4,2,1,0,0,9,7,7,0,10,10,0,0,2,0,9,0,7,4,,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2003,39,29,370245.00,9,6,6,8,0,20,0,9,11,18,5,5,20,25,25,23,17,20,2,0,0,0,6,7,10,8,0,6,8,0,0,2,0,13,0,10,5,,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2004,42,32,329917.00,15,4,7,6,0,21,0,11,13,19,7,6,24,29,18,16,10,14,6,0,1,0,6,3,8,9,0,3,8,0,0,5,0,17,2,13,4,35,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2005,33,28,276929.00,10,7,7,4,0,20,0,8,10,18,8,4,19,20,25,18,17,16,3,0,0,0,7,3,5,7,0,2,7,1,0,1,0,17,2,9,3,26,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2006,36,28,374032.00,11,4,6,7,0,20,0,8,11,17,7,2,20,21,25,21,17,13,5,0,0,0,6,4,6,7,0,7,8,1,0,1,0,18,0,10,5,23,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2007,32,26,342417.00,11,4,6,4,1,15,0,11,10,16,8,3,19,20,22,21,15,15,10,0,0,0,6,8,5,7,0,6,5,1,0,2,0,14,0,7,2,20,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2008,40,32,477741.00,11,3,10,7,1,21,0,11,14,18,10,5,27,28,28,26,21,19,8,0,0,0,7,10,9,9,0,8,7,2,0,3,0,17,0,11,1,29,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2009,40,29,506364.00,11,4,5,7,2,15,0,14,13,16,10,6,23,22,22,24,18,12,14,1,0,0,7,5,6,7,0,6,8,4,0,5,0,14,2,9,0,27,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2010,44,31,336866.00,10,8,8,5,0,22,0,9,15,16,9,6,19,25,22,24,13,10,13,1,1,0,7,9,7,8,0,7,12,3,0,5,0,19,0,10,0,29,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
2011,45,28,429237.00,10,2,10,5,1,14,0,14,13,15,7,5,23,27,25,19,18,9,12,0,1,0,6,9,7,5,0,0,10,3,0,3,0,17,0,9,0,29,Akhiok,1398007,650,Kodiak Island Borough,1419974,99150,150,0,,"Koniag, Incorporated",56.9455556,-154.1702778,Kodiak,0b1ab70f-3a34-46fe-8aac-c43348797f98
